algo,candidate,frontend,seed_count,success_rate,success_rate_std,clean_success_rate,clean_success_rate_std,mean_reward,mean_reward_std,mean_episode_cost,mean_episode_cost_std,mean_cost_rate,mean_cost_rate_std,crash_rate,crash_rate_std,out_of_road_rate,out_of_road_rate_std,out_of_time_rate,out_of_time_rate_std,intervention_ratio,intervention_ratio_std,mean_action_distortion,mean_action_distortion_std
rec,nocicim_route_preserve,nocicim_risk_field,5,0.79,0.05477225575051663,0.12,0.04472135954999579,313.2472460385488,12.094433806330164,13.02,2.7307508125056006,0.03828525824071224,0.00722175452621443,0.79,0.0651920240520265,0.21000000000000002,0.022360679774997894,0.0,0.0,0.10203896871730839,0.04265398388516931,0.05457987166853713,0.020554286893794068
rec,nocicim_soft_crash_guard,nocicim_risk_field,5,0.73,0.05700877125495691,0.09,0.04183300132670378,298.6546616456812,17.708163850355916,14.7,3.6174922252853565,0.04855422161402191,0.009165057076407118,0.81,0.0894427190999916,0.28,0.07582875444051551,0.0,0.0,0.004370058976363206,0.0029346800139743554,0.0012109966155230897,0.0008227952231927071
rec,nocicim_soft_front_trim,nocicim_risk_field,5,0.76,0.10246950765959598,0.09,0.04183300132670378,298.5141369748649,23.43415197314852,12.15,2.9139749484166813,0.038063721229302336,0.006906840257624391,0.8,0.10606601717798214,0.24,0.10246950765959599,0.0,0.0,0.017996053689861895,0.0036821566412083,0.032762105231752076,0.005949282858764314
rec,none,none,5,0.71,0.0651920240520265,0.09,0.04183300132670378,294.60536785031655,15.547008925803025,13.61,3.4629106254710065,0.045118439455119404,0.008753386607489129,0.8,0.10606601717798214,0.29,0.06519202405202647,0.0,0.0,0.0,0.0,0.0,0.0
td3,nocicim_close_range,nocicim_risk_field,5,0.87,0.02738612787525833,0.09,0.04183300132670378,322.78767486685996,3.6508030807002103,9.540000000000001,0.8841662739553007,0.02673048175799084,0.0008056098230756198,0.87,0.0758287544405155,0.11,0.07416198487095663,0.0,0.0,0.17459033743925803,0.045487675567975366,0.16783837129514362,0.06482659970127158
td3,nocicim_conservative_clean,nocicim_risk_field,5,0.76,0.07416198487095663,0.1,0.035355339059327376,313.428650662203,12.661344922529429,12.98,2.13090356421871,0.04470313942334746,0.007661458671356672,0.8200000000000001,0.04472135954999579,0.25,0.061237243569579436,0.0,0.0,0.0017381898394623506,0.00250838848797622,0.00017258573921213373,0.0002513216505852819
td3,nocicim_cost_guard,nocicim_risk_field,5,0.74,0.13874436925511607,0.12000000000000001,0.07582875444051551,299.1840618836376,27.753549425000735,8.81,1.2803319881968114,0.022827032828968495,0.001706227289514701,0.83,0.09082951062292474,0.18,0.12041594578792295,0.0,0.0,0.20949620356208226,0.05037292803036974,0.2626399806367766,0.09145049646758217
td3,nocicim_crash_aware_route,nocicim_risk_field,5,0.83,0.02738612787525827,0.11,0.05477225575051661,320.33918113465256,6.159305924631156,14.049999999999999,2.375394704043941,0.047808495185122014,0.009185888861654135,0.81,0.05477225575051661,0.21,0.04183300132670378,0.0,0.0,0.00624714545308407,0.003343030214834727,0.0012265739361814068,0.0006724402016097913
td3,nocicim_memory_confirmed_stop,nocicim_risk_field,5,0.78,0.057008771254956916,0.11,0.04183300132670377,313.28951981173884,9.48916346644948,13.28,2.360508419811291,0.04622345427422443,0.009151687452357142,0.81,0.05477225575051661,0.24,0.04183300132670377,0.0,0.0,0.009698520201859797,0.0032956780267764086,0.0014238681291041603,0.0004980570483488066
td3,nocicim_micro_guard,nocicim_risk_field,5,0.82,0.04472135954999578,0.12000000000000001,0.0570087712549569,317.784309051154,12.605542650643688,14.06,3.158203603316291,0.04158903470179666,0.00653771626961542,0.8200000000000001,0.04472135954999579,0.17,0.0570087712549569,0.0,0.0,0.08729992395214037,0.02348266846704901,0.0760065958852812,0.03154653593754482
td3,nocicim_risk_gated_micro_guard,nocicim_risk_field,5,0.78,0.057008771254956916,0.11,0.04183300132670377,313.28951981173884,9.48916346644948,13.28,2.360508419811291,0.04622345427422443,0.009151687452357142,0.81,0.05477225575051661,0.24,0.04183300132670377,0.0,0.0,0.009698520201859797,0.0032956780267764086,0.0014238681291041603,0.0004980570483488066
td3,nocicim_route_preserve,nocicim_risk_field,5,0.81,0.10839741694339397,0.08,0.04472135954999579,315.52716789642176,20.0219111033725,12.82,1.6288799833014098,0.03949033323750921,0.002678847803860857,0.86,0.04183300132670378,0.18,0.11510864433221338,0.0,0.0,0.10447000617373783,0.022657769704522285,0.06566171714325383,0.011524303714464439
td3,nocicim_soft_crash_guard,nocicim_risk_field,5,0.77,0.044721359549995836,0.1,0.035355339059327376,312.6188000930444,6.673235164221766,13.6,2.8319604517012587,0.04661427126306718,0.009028647204152853,0.8200000000000001,0.04472135954999579,0.24,0.04183300132670377,0.0,0.0,0.004611519420691429,0.003583081844324137,0.0012688686854706777,0.0010006903322585736
td3,nocicim_soft_front_trim,nocicim_risk_field,5,0.79,0.08944271909999162,0.11,0.022360679774997894,312.6343558542801,17.761183586262515,13.85,1.7306068299876778,0.040617338150066906,0.002896707796316325,0.81,0.02236067977499787,0.19,0.0651920240520265,0.0,0.0,0.04077316823932925,0.032023044130754116,0.07436362337381441,0.05724430604306688
td3,none,none,5,0.76,0.07416198487095663,0.1,0.035355339059327376,313.51149337371527,12.459076444734093,12.98,2.026881841647411,0.04460739189252037,0.00738982348786223,0.8200000000000001,0.04472135954999579,0.25,0.061237243569579436,0.0,0.0,0.0,0.0,0.0,0.0
fac,nocicim_monitor_only,nocicim_risk_field,5,0.63,0.10368220676663858,0.24,0.05477225575051661,284.31194210529077,20.193671297249935,3.5,0.968891118753805,0.010455287724939638,0.0021482549532482933,0.54,0.12942179105544785,0.33,0.07582875444051551,0.0,0.0,0.0,0.0,0.0,0.0
