algo,total_steps,seed_count,EpRet_mean,EpRet_std,EpCost_mean,EpCost_std,CostRate_mean,CostRate_std
td3,420000,5,0.73,0.10368220676663861,18.16,6.2134330285277874,0.061851099645475346,0.011784355850413174
td3,430000,5,0.74,0.08215838362577495,24.29,3.0435177016077968,0.061853632217749345,0.011600591691813336
td3,440000,5,0.74,0.15572411502397437,18.27,7.850923512555704,0.06195968627201425,0.011369146719998308
td3,450000,5,0.85,0.07071067811865477,18.11,6.727035008084914,0.062034360076355724,0.011321543248528104
td3,460000,5,0.82,0.1643167672515498,19.6,6.712581470641529,0.06195056945775969,0.011261626396877772
td3,470000,5,0.82,0.08366600265340754,19.47,6.434632856659346,0.06195545096904461,0.011281477493161733
td3,480000,5,0.75,0.10000000000000002,16.34,3.469582107401408,0.062019295873533074,0.011294438401673249
td3,490000,5,0.75,0.08660254037844389,20.8,3.3581989220413972,0.06212380025265358,0.011337103956071995
td3,500000,5,0.8200000000000001,0.07582875444051547,17.36,3.262552681566997,0.06198292396584793,0.011193917563331457
td3,510000,5,0.77,0.130384048104053,16.47,3.61828688746484,0.06195541559885412,0.011132535697879802
td3,520000,5,0.77,0.1254990039801113,16.95,6.919537556802477,0.061879349767980325,0.010993380352274502
td3,530000,5,0.82,0.10368220676663861,18.2,8.822343792893134,0.06178502223589101,0.010951278167744131
td3,540000,5,0.84,0.12449899597988728,17.07,5.249595222490968,0.061789744055081586,0.010963619712077833
td3,550000,5,0.84,0.09617692030835671,19.42,5.774794368633398,0.0618310215109482,0.010998944738916033
td3,560000,5,0.79,0.16355427233796124,22.53,7.586056287689936,0.061717967353513134,0.010895773389475255
td3,570000,5,0.77,0.07582875444051551,19.77,3.309380606699689,0.06170607316854942,0.010897988637137515
td3,580000,5,0.78,0.10368220676663861,19.42,5.126475397385614,0.06166769253050436,0.010776402801836924
td3,590000,5,0.76,0.10839741694339401,16.35,2.678619047195775,0.061550273814023414,0.010638276499105379
td3,600000,5,0.78,0.09746794344808964,16.54,1.2017695286534766,0.06163410272350454,0.010651235118580016
td3,610000,5,0.77,0.04472135954999579,21.78,6.930602426917879,0.06165288795555403,0.01069625603911862
td3,620000,5,0.83,0.14832396974191325,18.560000000000002,5.2006489979616966,0.06159235740702808,0.010720539237013934
td3,630000,5,0.75,0.07905694150420949,16.61,6.0433227615278,0.06156327232265448,0.010863373768538867
td3,640000,5,0.77,0.11510864433221339,15.87,2.815270857306629,0.06150165859634156,0.010825864664767284
td3,650000,5,0.79,0.1949358868961793,16.78,5.7929482994413135,0.06153055620085569,0.010796697417371425
td3,660000,5,0.75,0.15000000000000002,18.12,3.932969615951794,0.06149191135138084,0.010823168989452925
td3,670000,5,0.87,0.04472135954999579,15.62,4.269162681369732,0.061494420140925585,0.01080228967211622
td3,680000,5,0.82,0.1604680653588121,15.299999999999999,5.719812059849519,0.061424502094856025,0.010819002608847456
td3,690000,5,0.78,0.13038404810405296,16.85,3.678994427829431,0.061312842482380406,0.010836454085091205
td3,700000,5,0.84,0.08215838362577489,16.81,3.2738356708912555,0.061357230510329305,0.010754363178970161
td3,710000,5,0.74,0.10839741694339401,18.6,3.7856637462933764,0.06126712854525147,0.01078995512329162
td3,720000,5,0.85,0.07905694150420946,16.98,5.948382132983724,0.06117258496192356,0.010681779297441471
td3,730000,5,0.78,0.07582875444051553,17.34,6.8638910247759615,0.06103871375166268,0.010668996273958056
td3,740000,5,0.86,0.0821583836257749,16.259999999999998,6.609784414033486,0.06096278508484471,0.010600537504250556
td3,750000,5,0.77,0.11510864433221336,17.87,4.931607243080089,0.060928614571486094,0.01068766625719787
td3,760000,5,0.7999999999999999,0.16583123951776998,16.96,2.8908043863257165,0.06083534320439895,0.010695685687257218
td3,770000,5,0.79,0.108397416943394,14.120000000000001,4.589744001575687,0.060737481477248674,0.01069458163258896
td3,780000,5,0.82,0.1823458252881047,15.35,4.566453766326776,0.06072443682620106,0.010711322864721581
