variant,alpha,beta,gamma,theta,k,lambda_brake,lambda_throttle,steering_limit_gain,min_steering_scale,trigger_threshold,eval_episodes,seed_count,source_count,complete,SuccessRate_mean,SuccessRate_ci95,EpCost_mean,EpCost_ci95,CostRate_mean,CostRate_ci95,mean_pain_mean,mean_pain_ci95,trigger_rate_mean,trigger_rate_ci95,mean_longitudinal_delta_mean,mean_longitudinal_delta_ci95,steering_limit_rate_mean,steering_limit_rate_ci95
longitudinal,0.92,0.35,0.06,0.5,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.9,0.07591047358566534,8.79,1.151406166389602,0.027588151641400244,0.0018408420354727214,0.5036450582838133,0.0277204741728946,0.5046860465633944,0.028202731327123177,0.2896756366349286,0.013416224364802585,0.0,0.0
longitudinal,0.92,0.35,0.06,0.5,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.86,0.08430278761701775,9.87,1.494170619440765,0.02888225994557598,0.0033258982313580363,0.5489823070877785,0.054025582229031845,0.551426339235446,0.05477586034561794,0.3791754868578597,0.04133710925968067,0.0,0.0
longitudinal,0.92,0.35,0.08,0.4,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.94,0.09501452520536005,10.86,1.6317515006887535,0.03541068121432226,0.005909368191158212,0.4981116220927439,0.043889622492322485,0.4945413271388673,0.0448953718451031,0.23643703480449121,0.02359715107227561,0.0,0.0
longitudinal,0.92,0.35,0.08,0.4,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.82,0.11841385054122677,10.37,2.2677208470179924,0.03184312697884392,0.006184303178893567,0.5143391778010348,0.054665565548669214,0.5119039065340633,0.05593254064191018,0.29202516243748156,0.027728290932159987,0.0,0.0
longitudinal,0.92,0.35,0.08,0.4,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.91,0.06500584589096581,8.81,1.8915269387455202,0.026010849904414227,0.003947314554332809,0.5506701225474673,0.04761369720404886,0.5476110205244213,0.048708079304329965,0.3738016877529166,0.03369734668622472,0.0,0.0
longitudinal,0.92,0.35,0.08,0.45,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.85,0.14201549211265646,10.58,2.289008134542121,0.03456526231156974,0.003329537727970221,0.48376337587368495,0.0557694948931451,0.48019089715129454,0.05588281500088127,0.22766950801187197,0.02980474843247274,0.0,0.0
longitudinal,0.92,0.35,0.08,0.45,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.89,0.04800999895855027,11.06,2.2600423358866526,0.03403260481092877,0.004904620175304563,0.5179642218997933,0.08088904260503105,0.5165616401948285,0.08441201932417107,0.2952311734426664,0.05773883804973766,0.0,0.0
longitudinal,0.92,0.35,0.08,0.45,12,0.4,0.35,0.5,0.35,0.5,20,5,5,true,0.85,0.10278326712067486,9.83,1.278364830555033,0.02941910797845123,0.00312378810645131,0.5087762560930061,0.025590360781179777,0.5066925941042113,0.02665100088063666,0.3387476711382642,0.021828512109011378,0.0,0.0
longitudinal,0.92,0.35,0.08,0.5,12,0.2,0.35,0.5,0.35,0.5,20,5,5,true,0.86,0.1134432016473442,11.629999999999999,1.9345011346597862,0.03789569779566447,0.004944869421103581,0.48837729433321087,0.06502275136250832,0.4889094375130004,0.06594193362476268,0.2337083769020218,0.030928867843121207,0.0,0.0
longitudinal,0.92,0.35,0.08,0.5,12,0.3,0.35,0.5,0.35,0.5,20,5,5,true,0.86,0.08981848362113445,10.78,3.0881042469450413,0.031535625440207805,0.005653662086588275,0.49410247178292527,0.046998924951758274,0.49472370934619025,0.04640162312005432,0.2814401676480647,0.025988922700625586,0.0,0.0
